Company_name,Description,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Kalpataru Power Transmission,Engineering & Construction | 1k-5k Employees | Public | 43 years old | Mumbai +210 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.7k,6.4k,93,6,209
Datamatics Global Services,IT Services & Consulting | 5k-10k Employees | Public | 49 years old | Mumbai +27 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,1.7k,11.1k,102,171,194
Movate,IT Services & Consulting | 1k-5k Employees | 28 years old | Plano +29 more,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,1.7k,12.9k,173,39,19
Pfizer,Pharma | 1k-5k Employees | Public | 20 years old | Chennai +111 more,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,1.7k,6.1k,46,67,283
Renault-Nissan,Automobile | 10k-50k Employees | 17 years old | Chennai +78 more,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.7k,8.2k,57,--,271
Kansai Nerolac Paints,Chemicals | 1k-5k Employees | Public | 104 years old | Mumbai +178 more,3.9,Job Security,Promotions / Appraisal,1.7k,6.4k,93,77,197
Tata Teleservices,Telecom | 201-500 Employees | Public | 28 years old | Mumbai +147 more,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",,1.7k,4.8k,26,1,261
Fujitsu,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 89 years old | Bangalore/Bengaluru +26 more,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1.7k,14.8k,107,76,201
Mahindra Holidays & Resorts,Hospitality | 5k-10k Employees | 28 years old | Mumbai +95 more,3.6,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,1.7k,5.8k,70,58,205
Indian Railways,Railways | 1 Lakh+ Employees | Central | 171 years old | Delhi/NCR +212 more,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",,1.7k,3.1k,68,--,170
Raymond,Fashion & Textile | 5k-10k Employees | Public | 99 years old | New York +128 more,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,1.7k,7.1k,66,31,242
BHEL,Electrical Equipment | 10k-50k Employees | Fortune India 500 | 60 years old | Bangalore/Bengaluru +98 more,4.1,"Job Security, Work Life Balance, Company Culture",,1.7k,5.1k,77,--,218
VVDN Technologies,IT Services & Consulting | 5k-10k Employees | 17 years old | Gurgaon +32 more,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture",,1.7k,9.5k,111,76,147
MSN Laboratories,Pharma | 10k-50k Employees | 21 years old | Hyderabad/Secunderabad +69 more,3.8,Job Security,Company Culture,1.7k,7.1k,70,52,182
Reliance Trends,Retail | 1 Lakh+ Employees | Conglomerate | 18 years old | Navi Mumbai +335 more,4.4,"Skill Development / Learning, Job Security, Company Culture",,1.7k,4.3k,78,--,224
KPMG Global Services,Bangalore / Bengaluru +29 more,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction",1.7k,3.5k,109,128,22
3i Infotech,IT Services & Consulting | 1k-5k Employees | Public | 31 years old | Mumbai +107 more,3.6,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,1.7k,10.6k,97,55,156
ICICI Securities,Financial Services | 1k-5k Employees | Public | 29 years old | Mumbai +121 more,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction",1.7k,8.6k,101,17,187
Blinkit,Internet | 1k-5k Employees | Indian Unicorn | 11 years old | Gurgaon +61 more,3.9,Skill Development / Learning,"Job Security, Promotions / Appraisal",1.6k,8k,104,8,204
Cybage,IT Services & Consulting | 5k-10k Employees | 29 years old | Pune +9 more,3.9,"Job Security, Company Culture, Work Life Balance",,1.6k,17.1k,117,97,293
Ambuja Cements,Building Material | 5k-10k Employees | Public | 41 years old | Mumbai +192 more,3.9,Promotions / Appraisal,,1.6k,6k,76,--,217
JCB,Industrial Machinery | 1k-5k Employees | 79 years old | Rocester +90 more,4.0,"Work Life Balance, Company Culture",Promotions / Appraisal,1.6k,8.4k,83,--,252
Cadila Pharmaceuticals,Pharma | 5k-10k Employees | Public | 73 years old | Ahmedabad +112 more,3.5,"Job Security, Promotions / Appraisal, Work Satisfaction",,1.6k,6.9k,78,2,185
Info Edge,Internet | 5k-10k Employees | Public | 29 years old | Noida +55 more,4.1,"Job Security, Company Culture, Work Life Balance",,1.6k,10.3k,197,834,290
GlaxoSmithKline Pharmaceuticals,Pharma | 1k-5k Employees | Fortune India 500 | 194 years old | Brentford +178 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,1.6k,4.9k,71,322,124
Shell,Oil & Gas | 10k-50k Employees | Public | 20 years old | London +74 more,4.3,"Work Life Balance, Company Culture, Salary & Benefits",,1.6k,12.1k,126,14,270
suzuki motor gujarat,Fortune India 500 | Becharaji +86 more,4.3,"Job Security, Company Culture, Salary & Benefits",,1.6k,6.2k,111,58,198
Poonawalla Fincorp,NBFC | 1k-5k Employees | Public | 36 years old | Mumbai +249 more,3.9,Promotions / Appraisal,,1.6k,5k,36,98,134
ZS,Management Consulting | 5k-10k Employees | 41 years old | Evanston +9 more,3.5,Salary & Benefits,"Work Life Balance, Work Satisfaction",1.6k,15.6k,225,47,285
Foundever,BPO | 5k-10k Employees | Conglomerate | 39 years old | Miami +15 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1.6k,6k,77,78,224
Whirlpool,Consumer Electronics & Appliances | 1k-5k Employees | Public | 113 years old | Michigan +138 more,4.2,"Work Life Balance, Company Culture, Job Security",,1.6k,7.7k,63,19,210
Endurance Technologies,Auto Components | 1k-5k Employees | Public | 39 years old | Aurangabad +38 more,3.8,Promotions / Appraisal,,1.6k,7.1k,73,3,244
Force Motors,Automobile | 1k-5k Employees | Public | 66 years old | Pune +86 more,3.6,"Promotions / Appraisal, Company Culture, Salary & Benefits",,1.6k,7.8k,88,1,171
Bharat Petroleum,Oil & Gas | 5k-10k Employees | Fortune India 500 | 72 years old | Mumbai +217 more,4.2,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal,1.6k,6.2k,108,--,193
Tata Elxsi,IT Services & Consulting | 5k-10k Employees | Public | 35 years old | Bangalore/Bengaluru +23 more,4.0,"Job Security, Work Life Balance, Company Culture",,1.6k,16k,175,174,214
Jindal Stainless,Iron & Steel | 1k-5k Employees | Public | 54 years old | Delhi/NCR +56 more,4.3,"Job Security, Skill Development / Learning, Work Life Balance",,1.6k,8.5k,104,2,206
GVK Emergency Management and Research Institute,Non-Profit | 10k-50k Employees | 19 years old | Hyderabad/Secunderabad +148 more,3.8,"Promotions / Appraisal, Job Security, Salary & Benefits",,1.6k,4.2k,58,12,187
NoBroker,Internet | 1k-5k Employees | Indian Unicorn | 10 years old | Bangalore +36 more,3.3,"Work Satisfaction, Promotions / Appraisal, Work Life Balance",,1.6k,7.4k,135,433,361
Syngene International,Pharma | 1k-5k Employees | Public | 31 years old | Bangalore/Bengaluru +14 more,3.9,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1.6k,10.7k,110,48,241
Kalyan Jewellers,Jewellery | 5k-10k Employees | Fortune India 500 | 31 years old | Bangalore / Bengaluru +131 more,4.7,"Skill Development / Learning, Company Culture, Salary & Benefits",,1.6k,1.3k,37,14,59
Fincare Small Finance Bank,Banking | 10k-50k Employees | 17 years old | Bangalore +353 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,1.6k,6k,75,15,151
ITC Hotels,Hospitality | 5k-10k Employees | Public | 49 years old | Kolkata +74 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.6k,5.4k,56,--,202
PhonePe,FinTech | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +222 more,4.1,"Salary & Benefits, Company Culture, Job Security",,1.6k,8k,140,198,192
Shahi Exports,Retail | 1 Lakh+ Employees | 50 years old | Faridabad +60 more,4.0,"Job Security, Skill Development / Learning, Company Culture",,1.6k,6.7k,76,46,241
Bharti AXA Life Insurance,Insurance | 1k-5k Employees | 18 years old | Mumbai +218 more,3.9,Work Life Balance,,1.6k,5.3k,91,10,175
Delphi TVS,Auto Components | 1k-5k Employees | 35 years old | Kanchipuram +34 more,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,1.6k,5.4k,60,--,206
HCL Infosystems,IT Services & Consulting | 51-200 Employees | Public | 48 years old | Noida +107 more,4.0,"Job Security, Work Life Balance, Company Culture",,1.6k,9.6k,129,2,230
Dhani Loans and Services,NBFC | 1k-5k Employees | New Delhi +177 more,3.9,"Job Security, Promotions / Appraisal",,1.6k,5.4k,61,--,50
Sobha,Real Estate | 1k-5k Employees | Public | 29 years old | Bangalore/Bengaluru +33 more,4.0,"Job Security, Skill Development / Learning",,1.6k,7.7k,71,9,217
Care Health Insurance,Internet | 5k-10k Employees | Public | 12 years old | Gurgaon +193 more,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture",,1.6k,7.2k,79,70,177
Brakes India,Auto Components | 501-1k Employees | Fortune India 500 | 62 years old | Chennai +73 more,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,1.6k,6.4k,49,4,208
Sterling & Wilson,Engineering & Construction | 501-1k Employees | 97 years old | Mumbai +98 more,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",,1.6k,8.1k,50,4,--
Lodha group,Real Estate | 5k-10k Employees | Fortune India 500 | 44 years old | Mumbai +23 more,4.1,"Skill Development / Learning, Company Culture, Salary & Benefits",,1.6k,7.7k,79,144,200
Aavas Financiers,Financial Services | 5k-10k Employees | Public | 13 years old | Jaipur +231 more,4.0,Skill Development / Learning,,1.6k,5.4k,67,63,138
Bureau Veritas,Other | 1k-5k Employees | Forbes Global 2000 | 196 years old | Paris La Défense +109 more,4.0,"Work Life Balance, Job Security",Promotions / Appraisal,1.6k,7.2k,64,30,182
Citicorp,Financial Services | 1k-5k Employees | 27 years old | Mumbai +23 more,3.8,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction",1.6k,19.3k,161,46,277
CAMS,IT Services & Consulting | 5k-10k Employees | 36 years old | Chennai +95 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",1.6k,7k,70,32,59
Kent RO Systems,Consumer Electronics & Appliances | 1k-5k Employees | 25 years old | Noida +138 more,4.1,"Work Life Balance, Work Satisfaction, Company Culture",,1.6k,4.7k,58,21,117
Gallagher,Insurance | 10k-50k Employees | Forbes Global 2000 | 97 years old | Rolling Meadows +16 more,3.9,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.5k,10.1k,107,57,128
Varroc Group,Auto Components | 1k-5k Employees | Public | 36 years old | Aurangabad +33 more,3.8,"Promotions / Appraisal, Salary & Benefits",,1.5k,6.2k,95,140,153
Unacademy,EdTech | 1k-5k Employees | Indian Unicorn | 9 years old | Bangalore +55 more,3.3,"Job Security, Promotions / Appraisal, Work Satisfaction",,1.5k,8.6k,128,172,164
Future Generali India Life Insurance,Insurance | 1k-5k Employees | 17 years old | Mumbai +168 more,3.8,Promotions / Appraisal,,1.5k,6.7k,68,97,167
Allsec Technologies,BPO | 1k-5k Employees | Public | 24 years old | Chennai +26 more,4.1,"Job Security, Work Life Balance, Company Culture",,1.5k,6.2k,85,5,134
Canara HSBC Life Insurance,Insurance | 5k-10k Employees | 16 years old | Gurgaon/Gurugram +245 more,3.8,,,1.5k,5.8k,66,21,171
Sopra Steria,IT Services & Consulting | 5k-10k Employees | Conglomerate | 56 years old | Paris +14 more,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1.5k,13.7k,78,38,258
Coromandel International,Agro Chemicals | 5k-10k Employees | Public | 63 years old | Hyderabad/Secunderabad +143 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,1.5k,6.5k,65,53,228
Tata Motors Finance,NBFC | 1k-5k Employees | Conglomerate | 67 years old | Mumbai +220 more,4.1,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,1.5k,4.5k,55,100,155
café Coffee day,Hospitality | 1k-5k Employees | 28 years old | Bengaluru +91 more,4.0,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.5k,4.4k,33,3,178
Cisco,Hardware & Networking | 10k-50k Employees | Public | 40 years old | San Jose +35 more,4.4,"Work Life Balance, Company Culture, Skill Development / Learning",,1.5k,18.1k,221,29,238
Gabriel India,Auto Components | 1k-5k Employees | Public | 63 years old | Pune +40 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.5k,5.4k,65,--,254
Power Mech Projects,Engineering & Construction | 1k-5k Employees | Public | 17 years old | Hyderabad/Secunderabad +117 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",1.5k,6.1k,77,6,167
RMSI,IT Services & Consulting | 1k-5k Employees | 32 years old | Noida +12 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1.5k,7.2k,63,20,186
JK Tyres,Auto Components | 1k-5k Employees | Fortune India 500 | 73 years old | New Delhi +129 more,3.8,"Promotions / Appraisal, Salary & Benefits, Company Culture",,1.5k,6.4k,60,--,195
Adani Wilmar,FMCG | 1k-5k Employees | Public | 25 years old | Ahmedabad +150 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,1.5k,5.6k,67,8,176
Star Health & Allied Insurance,Insurance | 10k-50k Employees | Fortune India 500 | 18 years old | Chennai +246 more,3.9,Promotions / Appraisal,,1.5k,7k,55,29,171
IntouchCX,BPO | 5k-10k Employees | 23 years old | Winnipeg +17 more,3.0,"Promotions / Appraisal, Job Security, Salary & Benefits",,1.5k,6.6k,109,68,158
DBS Bank,Banking | 5k-10k Employees | 9 years old | Hyderabad/Secunderabad +137 more,3.9,"Salary & Benefits, Job Security",Promotions / Appraisal,1.5k,11.6k,89,64,194
KIA MOTORS,Automobile | 1k-5k Employees | Forbes Global 2000 | 80 years old | Seoul +133 more,3.9,"Promotions / Appraisal, Salary & Benefits",,1.5k,6.4k,83,14,185
Lucas-TVS,Auto Components | 5k-10k Employees | 63 years old | Chennai +59 more,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,1.5k,5.6k,55,4,224
Straive,Analytics & KPO | 10k-50k Employees | 44 years old | Singapore +22 more,3.5,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,1.5k,8k,113,78,129
Bank of Baroda,Banking | 50k-1 Lakh Employees | Fortune India 500 | 116 years old | Vadodara/Baroda +236 more,3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.5k,6.1k,72,8,155
Sify Technologies,IT Services & Consulting | 1k-5k Employees | 29 years old | Chennai +104 more,4.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,1.5k,9.2k,86,60,158
Planet Spark,EdTech | 51-200 Employees | Startup | 7 years old | Gurgaon +41 more,3.8,Skill Development / Learning,,1.5k,2.4k,250,208,212
ValueLabs,IT Services & Consulting | 5k-10k Employees | 27 years old | Hyderabad/Secunderabad +15 more,3.9,"Salary & Benefits, Work Life Balance",,1.5k,15.2k,106,117,289
Laurus Labs,Pharma | 5k-10k Employees | Public | 19 years old | Hyderabad/Secunderabad +14 more,4.2,"Job Security, Company Culture, Work Life Balance",,1.5k,6.3k,78,4,224
Hero FinCorp,NBFC | 1k-5k Employees | 33 years old | Delhi +313 more,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,1.4k,4.7k,59,29,137
Parle Products,Food Processing | 1k-5k Employees | 95 years old | Mumbai +189 more,4.0,Salary & Benefits,Company Culture,1.4k,3.9k,61,6,207
Hindustan Aeronautics,Defence & Aerospace | 10k-50k Employees | Fortune India 500 | 84 years old | Bangalore/Bengaluru +46 more,4.4,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,1.4k,3.9k,50,1,178
Indian Navy,Defence & Aerospace | 50k-1 Lakh Employees | Central | 74 years old | Delhi/NCR +57 more,4.6,"Job Security, Skill Development / Learning, Salary & Benefits",,1.4k,3.5k,16,--,251
Taurus BPO Services,BPO | 1k-5k Employees | 9 years old | Pune +15 more,4.6,"Skill Development / Learning, Company Culture, Job Security",,1.4k,647,14,1,524
ABC,Broadcasting | 1k-5k Employees (Global) | Public | 81 years old | New York +100 more,3.9,"Salary & Benefits, Work Life Balance, Company Culture",,1.4k,42.1k,269,27,86
UpGrad,EdTech | 5k-10k Employees | Indian Unicorn | 9 years old | San Francisco +37 more,3.9,"Salary & Benefits, Skill Development / Learning, Company Culture",,1.4k,6.8k,128,236,145
Thomson Reuters,Legal | 5k-10k Employees | Forbes Global 2000 | 16 years old | Toronto +24 more,4.2,"Work Life Balance, Company Culture, Job Security",,1.4k,10.8k,53,7,233
ESAF Microfinance & Investments (P),Financial Services | 1k-5k Employees | 8 years old | Thrissur/Trichur +277 more,3.9,Job Security,,1.4k,5.7k,72,23,109
Uflex,Packaging | 5k-10k Employees | Public | 39 years old | Noida +41 more,3.8,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.4k,6.4k,75,16,123
Adani Power,Power | 1k-5k Employees | Public | 18 years old | Ahmedabad +79 more,3.9,"Skill Development / Learning, Job Security",,1.4k,7.3k,141,1,170
SAP,Software Product | 10k-50k Employees | Forbes Global 2000 | 52 years old | Walldorf +41 more,4.3,"Work Life Balance, Job Security, Company Culture",,1.4k,14.8k,188,113,312
AECOM,Engineering & Construction | 1k-5k Employees | 34 years old | Dallas +106 more,4.3,"Work Life Balance, Company Culture, Skill Development / Learning",,1.4k,5.9k,84,2,253
TVS Sundram Fasteners,Auto Components | 1k-5k Employees | Public | 62 years old | Chennai +41 more,3.8,"Promotions / Appraisal, Salary & Benefits",,1.4k,6.5k,42,--,213
Cargill,Food Processing | 1k-5k Employees | Conglomerate | 159 years old | Wayzata +89 more,4.2,"Job Security, Company Culture, Salary & Benefits",,1.4k,6.9k,64,142,160
Citibank,Banking | 10k-50k Employees (Global) | Fortune India 500 | 212 years old | New York +46 more,4.0,"Salary & Benefits, Job Security, Company Culture",,1.4k,16.1k,104,37,213
CMA CGM,Ports & Shipping | 501-1k Employees | 46 years old | Marseille +30 more,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.4k,8.8k,68,1,229
SGS,1k-5k Employees | Forbes Global 2000 | 146 years old | Geneva +108 more,4.0,Work Life Balance,Promotions / Appraisal,1.4k,5.8k,66,206,191
Akums Drugs & Pharmaceuticals,Pharma | 10k-50k Employees | 20 years old | Delhi/NCR +28 more,4.0,"Job Security, Skill Development / Learning, Company Culture",,1.4k,5.6k,82,18,159
Dr Lal PathLabs,Healthcare | 1k-5k Employees | Public | 75 years old | Gurgaon/Gurugram +151 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,1.4k,4k,96,49,199
Intellect Design Arena,FinTech | 5k-10k Employees | Public | 13 years old | Chennai +26 more,4.1,"Job Security, Company Culture, Salary & Benefits",,1.4k,11.5k,79,44,184
Honda,Automobile | 10k-50k Employees | Forbes Global 2000 | 39 years old | Greater Noida +197 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,1.4k,5.2k,81,--,211
IDBI Bank,Banking | 10k-50k Employees | Public | 60 years old | Mumbai +281 more,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",1.4k,5.9k,42,--,141
Renault Nissan Technology & Business Centre India,IT Services & Consulting | 5k-10k Employees | 17 years old | Chennai +13 more,3.9,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1.4k,13.2k,67,11,236
Google,Internet | 10k-50k Employees | 26 years old | Mountain View +77 more,4.4,"Company Culture, Salary & Benefits, Work Life Balance",,1.4k,21.3k,408,1,141
Reliance General Insurance,Insurance | 5k-10k Employees | 24 years old | Mumbai +168 more,3.9,Promotions / Appraisal,,1.4k,6.5k,65,2,135
Novartis,Pharma | 1k-5k Employees | 28 years old | Switzerland +64 more,4.1,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1.4k,8.3k,88,151,241
Microsoft Corporation,Software Product | 10k-50k Employees | Forbes Global 2000 | 49 years old | Sunnyvale +43 more,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,1.4k,23.2k,352,537,221
TCE,Engineering & Construction | 5k-10k Employees | 62 years old | Mumbai +98 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1.4k,7.2k,171,27,169
Kotak Securities,Financial Services | 5k-10k Employees | Conglomerate | 30 years old | Mumbai +117 more,3.7,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,1.4k,8.1k,71,22,156
L&T Energy Hydrocarbon,Engineering & Construction | 5k-10k Employees | 15 years old | Mumbai +68 more,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance, Salary & Benefits",1.4k,7.1k,62,3,205
Big Bazaar,Retail | 10k-50k Employees | Conglomerate | 23 years old | Mumbai +156 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",,1.4k,4.3k,34,--,192
Narayana Health,Healthcare | 10k-50k Employees | Fortune India 500 | 24 years old | Bangalore/Bengaluru +57 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.4k,5.1k,39,92,144
Xoriant,IT Services & Consulting | 1k-5k Employees | 34 years old | Sunnyvale +19 more,3.9,"Work Life Balance, Company Culture, Salary & Benefits",,1.4k,10.6k,107,98,436
BA Continuum,NBFC | 1k-5k Employees | 21 years old | Gurgaon/Gurugram +15 more,4.3,"Job Security, Work Life Balance, Company Culture",,1.4k,11.7k,69,--,304
AXA Business Services,Insurance | 501-1k Employees | 78 years old | Paris +8 more,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1.4k,7.7k,49,16,171
Meesho,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bengaluru/Bangalore +93 more,3.7,Salary & Benefits,"Job Security, Promotions / Appraisal",1.4k,6.4k,169,231,289
Spark Minda,Auto Components | 1k-5k Employees | Public | 66 years old | Gurgaon +60 more,3.9,Promotions / Appraisal,,1.4k,5.4k,78,10,42
Wockhardt,Pharma | 5k-10k Employees | Public | 25 years old | Mumbai +77 more,3.9,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1.4k,4.7k,38,9,183
Honeywell Automation,Consumer Electronics & Appliances | 10k-50k Employees | Public | 118 years old | Morris Plains +62 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1.4k,10.5k,58,297,165
SBI General Insurance,Insurance | 5k-10k Employees | 15 years old | Mumbai +205 more,3.9,Job Security,Promotions / Appraisal,1.4k,5.3k,71,23,139
Optum Global Solutions,IT Services & Consulting | 10k-50k Employees | 22 years old | Gurgaon / Gurugram +12 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.4k,8.9k,83,--,182
YASH Technologies,IT Services & Consulting | 5k-10k Employees | 28 years old | East Moline +19 more,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,1.4k,15.5k,88,78,180
Vedantu,EdTech | 1k-5k Employees | Indian Unicorn | 13 years old | Bangalore +51 more,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction",,1.4k,8.9k,158,154,163
CMS Infosystems,IT Services & Consulting | 5k-10k Employees | 16 years old | Mumbai +165 more,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,1.4k,4.1k,36,87,102
Philips,Consumer Electronics & Appliances | 5k-10k Employees | Forbes Global 2000 | 94 years old | Amsterdam +84 more,3.9,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1.4k,10.2k,88,131,189
MetLife,Insurance | 1k-5k Employees | Forbes Global 2000 | 16 years old | New York +37 more,4.3,"Job Security, Work Life Balance, Company Culture",,1.4k,8k,50,488,244
Vardhman Fabrics,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 59 years old | Ludhiana +55 more,4.1,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1.4k,5.6k,46,23,151
Tata Play,Broadcasting | 5k-10k Employees | Public | 18 years old | Mumbai +190 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,1.4k,4.8k,56,5,184
NCR Corporation,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 140 years old | Atlanta +80 more,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1.3k,8.5k,64,104,185
Aragen Life Sciences,Pharma | 1k-5k Employees | 24 years old | Hyderabad/Secunderabad +18 more,4.1,"Skill Development / Learning, Company Culture, Job Security",,1.3k,5.6k,77,32,331
Biological E,Biotechnology | 1k-5k Employees | 71 years old | Hyderabad/Secunderabad +46 more,4.2,"Job Security, Company Culture, Work Life Balance",,1.3k,6k,84,42,231
Niva Bupa Health Insurance Company,Insurance | 5k-10k Employees | 16 years old | Delhi/NCR +182 more,3.7,Promotions / Appraisal,,1.3k,6.3k,70,20,125
Apollo Pharmacy,Pharma | 10k-50k Employees | 41 years old | Chennai +199 more,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,1.3k,4.5k,79,121,127
G R Infraprojects,Engineering & Construction | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +131 more,4.2,"Skill Development / Learning, Salary & Benefits, Company Culture",,1.3k,5.3k,92,21,166
Crisil,Financial Services | 1k-5k Employees | Public | 37 years old | Mumbai +54 more,3.8,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1.3k,10.9k,119,404,236
Safexpress,Logistics | 1k-5k Employees | Conglomerate | 27 years old | Delhi/NCR +142 more,4.2,"Job Security, Company Culture, Work Life Balance",,1.3k,5.1k,73,--,150
Microland,IT Services & Consulting | 1k-5k Employees | Public | 35 years old | Bangalore +41 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,1.3k,11.1k,86,111,165
Innovsource Services,Recruitment | 1k-5k Employees | 20 years old | Mumbai +192 more,4.0,Promotions / Appraisal,,1.3k,4.2k,47,13,127
Exl India,IT Services & Consulting | 11-50 Employees | 67 years old | New Delhi +26 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.3k,10.3k,50,16,170
PHN Technology,Pune +30 more,4.6,"Skill Development / Learning, Work Satisfaction, Company Culture",,1.3k,186,21,--,25
Amazon Transportation Services,Logistics | 1k-5k Employees | 12 years old | Seattle +131 more,4.2,"Salary & Benefits, Company Culture, Skill Development / Learning",,1.3k,4.1k,115,--,259
Frankfinn Institute of Air Hostess Training,Education & Training | 1k-5k Employees | 31 years old | Gurgaon/Gurugram +57 more,4.0,"Skill Development / Learning, Salary & Benefits, Company Culture",,1.3k,3.4k,58,62,192
Panasonic Life Solutions,Electrical Equipment | 10k-50k Employees | 61 years old | Mumbai +109 more,4.1,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,1.3k,5k,46,10,106
Allstate,Insurance | 5k-10k Employees | Forbes Global 2000 | 12 years old | Bangalore/Bengaluru +9 more,4.0,"Work Life Balance, Company Culture, Job Security",,1.3k,10.1k,82,49,207
SS&C TECHNOLOGIES,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 38 years old | Windsor Locks +25 more,3.6,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",1.3k,11.4k,105,86,205
Metro Cash & Carry,Retail | 1k-5k Employees | Forbes Global 2000 | 60 years old | Bangalore/Bengaluru +76 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.3k,4.9k,36,7,169
R.R. Donnelley,Marketing & Advertising | 5k-10k Employees | 160 years old | Chicago +12 more,4.1,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.3k,10.7k,71,17,285
